Data,Valor
29.12.2023,4.196
28.12.2023,4.256
27.12.2023,4.280
26.12.2023,4.283
22.12.2023,4.311
21.12.2023,4.288
20.12.2023,4.309
19.12.2023,4.289
18.12.2023,4.271
15.12.2023,4.244
14.12.2023,4.267
13.12.2023,4.395
12.12.2023,4.375
11.12.2023,4.351
08.12.2023,4.381
07.12.2023,4.340
06.12.2023,4.241
05.12.2023,4.206
04.12.2023,4.271
01.12.2023,4.398
30.11.2023,4.475
29.11.2023,4.438
28.11.2023,4.370
27.11.2023,4.260
24.11.2023,4.219
22.11.2023,4.173
21.11.2023,4.227
20.11.2023,4.034
17.11.2023,4.108
16.11.2023,4.043
15.11.2023,3.992
14.11.2023,3.984
13.11.2023,4.064
10.11.2023,4.014
09.11.2023,3.972
08.11.2023,3.933
07.11.2023,3.905
06.11.2023,3.941
03.11.2023,3.898
02.11.2023,3.865
01.11.2023,3.794
31.10.2023,3.817
30.10.2023,3.826
27.10.2023,3.852
26.10.2023,3.810
25.10.2023,3.735
24.10.2023,3.729
23.10.2023,3.759
20.10.2023,3.694
19.10.2023,3.648
18.10.2023,3.639
17.10.2023,3.635
16.10.2023,3.591
13.10.2023,3.499
12.10.2023,3.490
11.10.2023,3.432
10.10.2023,3.474
09.10.2023,3.435
06.10.2023,3.453
05.10.2023,3.400
04.10.2023,3.431
03.10.2023,3.428
02.10.2023,3.502
29.09.2023,3.418
28.09.2023,3.459
27.09.2023,3.416
26.09.2023,3.500
25.09.2023,3.496
22.09.2023,3.582
21.09.2023,3.595
20.09.2023,3.570
19.09.2023,3.642
18.09.2023,3.621
15.09.2023,3.757
14.09.2023,3.853
13.09.2023,3.849
12.09.2023,3.772
11.09.2023,3.611
08.09.2023,3.609
07.09.2023,3.573
06.09.2023,3.577
05.09.2023,3.560
01.09.2023,3.574
31.08.2023,3.602
30.08.2023,3.606
29.08.2023,3.555
28.08.2023,3.442
25.08.2023,3.430
24.08.2023,3.363
23.08.2023,3.323
22.08.2023,3.329
21.08.2023,3.355
18.08.2023,3.366
17.08.2023,3.413
16.08.2023,3.372
15.08.2023,3.340
14.08.2023,3.321
11.08.2023,3.297
10.08.2023,3.282
09.08.2023,3.319
08.08.2023,3.333
07.08.2023,3.476
04.08.2023,3.510
03.08.2023,3.491
02.08.2023,3.562
01.08.2023,3.543
31.07.2023,3.548
28.07.2023,3.525
27.07.2023,3.529
26.07.2023,3.552
25.07.2023,3.470
24.07.2023,3.417
21.07.2023,3.415
20.07.2023,3.388
19.07.2023,3.433
18.07.2023,3.407
17.07.2023,3.359
14.07.2023,3.307
13.07.2023,3.232
12.07.2023,3.299
11.07.2023,3.296
10.07.2023,3.299
07.07.2023,3.274
06.07.2023,3.277
05.07.2023,3.334
03.07.2023,3.364
30.06.2023,3.318
29.06.2023,3.218
28.06.2023,3.292
27.06.2023,3.212
26.06.2023,3.206
23.06.2023,3.123
22.06.2023,3.138
21.06.2023,3.164
20.06.2023,3.142
16.06.2023,3.188
15.06.2023,3.226
14.06.2023,3.189
13.06.2023,3.186
12.06.2023,3.136
09.06.2023,3.180
08.06.2023,3.149
07.06.2023,3.103
06.06.2023,3.045
05.06.2023,3.056
02.06.2023,3.026
01.06.2023,3.008
31.05.2023,3.007
30.05.2023,3.005
26.05.2023,2.991
25.05.2023,3.017
24.05.2023,3.010
23.05.2023,3.016
22.05.2023,3.023
19.05.2023,3.068
18.05.2023,2.991
17.05.2023,3.000
16.05.2023,2.995
15.05.2023,3.160
12.05.2023,3.226
11.05.2023,3.242
10.05.2023,3.260
09.05.2023,3.229
08.05.2023,3.179
05.05.2023,3.109
04.05.2023,3.052
03.05.2023,3.014
02.05.2023,3.130
01.05.2023,3.171
28.04.2023,3.174
27.04.2023,3.150
26.04.2023,3.176
25.04.2023,3.149
24.04.2023,3.203
21.04.2023,3.171
20.04.2023,3.087
19.04.2023,3.079
18.04.2023,3.054
17.04.2023,3.003
14.04.2023,2.984
13.04.2023,3.002
12.04.2023,2.954
11.04.2023,2.985
10.04.2023,2.922
06.04.2023,2.919
05.04.2023,2.903
04.04.2023,2.914
03.04.2023,2.868
31.03.2023,2.933
30.03.2023,2.917
29.03.2023,2.880
28.03.2023,2.901
27.03.2023,2.902
24.03.2023,2.884
23.03.2023,2.868
22.03.2023,2.874
21.03.2023,2.817
20.03.2023,2.785
17.03.2023,2.738
16.03.2023,2.658
15.03.2023,2.586
14.03.2023,2.628
13.03.2023,2.613
10.03.2023,2.674
09.03.2023,2.732
08.03.2023,2.729
07.03.2023,2.756
06.03.2023,2.791
03.03.2023,2.730
02.03.2023,2.760
01.03.2023,2.800
28.02.2023,2.748
27.02.2023,2.715
24.02.2023,2.748
23.02.2023,2.770
22.02.2023,2.779
21.02.2023,2.732
17.02.2023,2.722
16.02.2023,2.700
15.02.2023,2.692
14.02.2023,2.621
13.02.2023,2.621
10.02.2023,2.564
09.02.2023,2.578
08.02.2023,2.579
07.02.2023,2.581
06.02.2023,2.577
03.02.2023,2.569
02.02.2023,2.583
01.02.2023,2.592
31.01.2023,2.581
30.01.2023,2.611
27.01.2023,2.627
26.01.2023,2.629
25.01.2023,2.592
24.01.2023,2.585
23.01.2023,2.608
20.01.2023,2.569
19.01.2023,2.570
18.01.2023,2.620
17.01.2023,2.641
13.01.2023,2.651
12.01.2023,2.640
11.01.2023,2.633
10.01.2023,2.604
09.01.2023,2.690
06.01.2023,2.605
05.01.2023,2.617
04.01.2023,2.603
03.01.2023,2.572
30.12.2022,2.600
29.12.2022,2.578
28.12.2022,2.621
27.12.2022,2.633
23.12.2022,2.628
22.12.2022,2.606
21.12.2022,2.529
20.12.2022,2.498
19.12.2022,2.499
16.12.2022,2.475
15.12.2022,2.517
14.12.2022,2.474
13.12.2022,2.491
12.12.2022,2.452
09.12.2022,2.454
08.12.2022,2.492
07.12.2022,2.442
06.12.2022,2.437
05.12.2022,2.432
02.12.2022,2.489
01.12.2022,2.472
30.11.2022,2.451
29.11.2022,2.433
28.11.2022,2.438
25.11.2022,2.437
23.11.2022,2.397
22.11.2022,2.381
21.11.2022,2.387
18.11.2022,2.412
17.11.2022,2.428
16.11.2022,2.503
15.11.2022,2.500
14.11.2022,2.497
11.11.2022,2.520
10.11.2022,2.558
09.11.2022,2.532
08.11.2022,2.537
07.11.2022,2.506
04.11.2022,2.434
03.11.2022,2.372
02.11.2022,2.379
01.11.2022,2.348
31.10.2022,2.335
28.10.2022,2.302
27.10.2022,2.314
26.10.2022,2.278
25.10.2022,2.296
24.10.2022,2.337
21.10.2022,2.306
20.10.2022,2.328
19.10.2022,2.308
18.10.2022,2.305
17.10.2022,2.340
14.10.2022,2.377
13.10.2022,2.385
12.10.2022,2.318
11.10.2022,2.347
10.10.2022,2.358
07.10.2022,2.396
06.10.2022,2.373
05.10.2022,2.392
04.10.2022,2.360
03.10.2022,2.337
30.09.2022,2.354
29.09.2022,2.327
28.09.2022,2.282
27.09.2022,2.286
26.09.2022,2.243
23.09.2022,2.247
22.09.2022,2.321
21.09.2022,2.352
20.09.2022,2.355
19.09.2022,2.369
16.09.2022,2.360
15.09.2022,2.412
14.09.2022,2.312
13.09.2022,2.350
12.09.2022,2.386
09.09.2022,2.360
08.09.2022,2.328
07.09.2022,2.350
06.09.2022,2.369
02.09.2022,2.416
01.09.2022,2.368
31.08.2022,2.413
30.08.2022,2.408
29.08.2022,2.410
26.08.2022,2.413
25.08.2022,2.417
24.08.2022,2.398
23.08.2022,2.318
22.08.2022,2.356
19.08.2022,2.374
18.08.2022,2.422
17.08.2022,2.421
16.08.2022,2.370
15.08.2022,2.401
12.08.2022,2.394
11.08.2022,2.451
10.08.2022,2.438
09.08.2022,2.404
08.08.2022,2.380
05.08.2022,2.341
04.08.2022,2.388
03.08.2022,2.336
02.08.2022,2.390
01.08.2022,2.390
29.07.2022,2.373
28.07.2022,2.364
27.07.2022,2.394
26.07.2022,2.435
25.07.2022,2.408
22.07.2022,2.336
21.07.2022,2.344
20.07.2022,2.403
19.07.2022,2.382
18.07.2022,2.366
15.07.2022,2.356
14.07.2022,2.247
13.07.2022,2.303
12.07.2022,2.354
11.07.2022,2.373
08.07.2022,2.318
07.07.2022,2.354
06.07.2022,2.356
05.07.2022,2.315
01.07.2022,2.314
30.06.2022,2.340
29.06.2022,2.366
28.06.2022,2.402
27.06.2022,2.410
24.06.2022,2.432
23.06.2022,2.433
22.06.2022,2.452
21.06.2022,2.468
17.06.2022,2.433
16.06.2022,2.377
15.06.2022,2.377
14.06.2022,2.367
13.06.2022,2.380
10.06.2022,2.432
09.06.2022,2.473
08.06.2022,2.494
07.06.2022,2.507
06.06.2022,2.519
03.06.2022,2.505
02.06.2022,2.510
01.06.2022,2.541
31.05.2022,2.515
27.05.2022,2.482
26.05.2022,2.482
25.05.2022,2.433
24.05.2022,2.465
23.05.2022,2.473
20.05.2022,2.453
19.05.2022,2.480
18.05.2022,2.494
17.05.2022,2.530
16.05.2022,2.521
13.05.2022,2.469
12.05.2022,2.433
11.05.2022,2.489
10.05.2022,2.445
09.05.2022,2.455
06.05.2022,2.492
05.05.2022,2.511
04.05.2022,2.580
03.05.2022,2.607
02.05.2022,2.604
29.04.2022,2.567
28.04.2022,2.567
27.04.2022,2.537
26.04.2022,2.507
25.04.2022,2.487
22.04.2022,2.554
21.04.2022,2.592
20.04.2022,2.593
19.04.2022,2.580
18.04.2022,2.578
14.04.2022,2.636
13.04.2022,2.627
12.04.2022,2.634
11.04.2022,2.667
08.04.2022,2.674
07.04.2022,2.627
06.04.2022,2.605
05.04.2022,2.589
04.04.2022,2.613
01.04.2022,2.641
31.03.2022,2.687
30.03.2022,2.686
29.03.2022,2.673
28.03.2022,2.636
25.03.2022,2.600
24.03.2022,2.616
