Data;Valor;;;;;
31.12.2023;4.204,00;;;;;
24.12.2023;4.196,00;;;;;
17.12.2023;4.311,00;;;;;
10.12.2023;4.244,00;;;;;
03.12.2023;4.381,00;;;;;
26.11.2023;4.398,00;;;;;
19.11.2023;4.089,00;;;;;
12.11.2023;4.108,00;;;;;
05.11.2023;3.991,00;;;;;
29.10.2023;3.898,00;;;;;
22.10.2023;3.852,00;;;;;
15.10.2023;3.694,00;;;;;
08.10.2023;3.499,00;;;;;
01.10.2023;3.453,00;;;;;
24.09.2023;3.418,00;;;;;
17.09.2023;3.582,00;;;;;
10.09.2023;3.757,00;;;;;
03.09.2023;3.609,00;;;;;
27.08.2023;3.574,00;;;;;
20.08.2023;3.430,00;;;;;
13.08.2023;3.366,00;;;;;
06.08.2023;3.297,00;;;;;
30.07.2023;3.510,00;;;;;
23.07.2023;3.525,00;;;;;
16.07.2023;3.415,00;;;;;
09.07.2023;3.307,00;;;;;
02.07.2023;3.274,00;;;;;
25.06.2023;3.318,00;;;;;
18.06.2023;3.203,00;;;;;
11.06.2023;3.188,00;;;;;
04.06.2023;3.180,00;;;;;
28.05.2023;3.026,00;;;;;
21.05.2023;2.991,00;;;;;
14.05.2023;3.068,00;;;;;
07.05.2023;3.226,00;;;;;
30.04.2023;3.109,00;;;;;
23.04.2023;3.174,00;;;;;
16.04.2023;3.171,00;;;;;
09.04.2023;2.984,00;;;;;
02.04.2023;2.919,00;;;;;
26.03.2023;2.933,00;;;;;
19.03.2023;2.884,00;;;;;
12.03.2023;2.721,00;;;;;
05.03.2023;2.674,00;;;;;
26.02.2023;2.760,00;;;;;
19.02.2023;2.707,00;;;;;
12.02.2023;2.722,00;;;;;
05.02.2023;2.564,00;;;;;
29.01.2023;2.569,00;;;;;
22.01.2023;2.627,00;;;;;
15.01.2023;2.569,00;;;;;
08.01.2023;2.651,00;;;;;
01.01.2023;2.605,00;;;;;
25.12.2022;2.600,00;;;;;
18.12.2022;2.628,00;;;;;
11.12.2022;2.475,00;;;;;
04.12.2022;2.454,00;;;;;
27.11.2022;2.489,00;;;;;
20.11.2022;2.437,00;;;;;
13.11.2022;2.412,00;;;;;
06.11.2022;2.518,00;;;;;
30.10.2022;2.434,00;;;;;
