"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"17.01.2024","4.443,50","4.431,00","4.477,00","4.407,00","","0,33%"
"16.01.2024","4.429,00","4.355,00","4.448,00","4.321,00","35,66K","2,45%"
"12.01.2024","4.323,00","4.290,00","4.358,00","4.285,00","30,06K","1,15%"
"11.01.2024","4.274,00","4.210,00","4.280,00","4.199,00","24,52K","1,62%"
"10.01.2024","4.206,00","4.171,00","4.235,00","4.156,00","22,85K","1,06%"
"09.01.2024","4.162,00","4.110,00","4.202,00","4.092,00","28,73K","1,66%"
"08.01.2024","4.094,00","4.194,00","4.194,00","4.034,00","53,19K","-2,62%"
"05.01.2024","4.204,00","4.260,00","4.274,00","4.194,00","19,63K","-1,31%"
"04.01.2024","4.260,00","4.233,00","4.267,00","4.232,00","15,72K","0,52%"
"03.01.2024","4.238,00","4.265,00","4.273,00","4.204,00","25,19K","-0,87%"
"02.01.2024","4.275,00","4.209,00","4.287,00","4.200,00","24,13K","1,88%"
"29.12.2023","4.196,00","4.256,00","4.256,00","4.193,00","18,60K","-1,41%"
"28.12.2023","4.256,00","4.288,00","4.302,00","4.235,00","16,11K","-0,56%"
"27.12.2023","4.280,00","4.296,00","4.315,00","4.277,00","12,50K","-0,07%"
"26.12.2023","4.283,00","4.320,00","4.343,00","4.276,00","9,12K","-0,65%"
"22.12.2023","4.311,00","4.277,00","4.325,00","4.275,00","12,72K","0,54%"
"21.12.2023","4.288,00","4.300,00","4.320,00","4.267,00","20,61K","-0,49%"
"20.12.2023","4.309,00","4.288,00","4.334,00","4.271,00","17,00K","0,47%"
"19.12.2023","4.289,00","4.285,00","4.307,00","4.254,00","16,19K","0,42%"
"18.12.2023","4.271,00","4.255,00","4.307,00","4.241,00","18,49K","0,64%"
"15.12.2023","4.244,00","4.273,00","4.282,00","4.231,00","19,05K","-0,54%"
"14.12.2023","4.267,00","4.270,00","4.317,00","4.237,00","25,22K","-2,91%"
"13.12.2023","4.395,00","4.245,00","4.265,00","4.214,00","15,86K","0,46%"
"12.12.2023","4.375,00","4.478,00","4.478,00","4.456,00","0,01K","0,55%"
"11.12.2023","4.351,00","4.419,00","4.419,00","4.388,00","0,01K","-0,68%"
"08.12.2023","4.381,00","4.200,00","4.291,00","4.148,00","31,44K","0,94%"
"07.12.2023","4.340,00","4.366,00","4.366,00","4.366,00","0,00K","2,33%"
