Data;ICCO_USD
29/12/2023;4,160.00
28/12/2023;4,216.00
26/12/2023;4,241.00
22/12/2023;4,263.67
21/12/2023;4,246.67
20/12/2023;4,254.00
19/12/2023;4,239.33
18/12/2023;4,231.33
15/12/2023;4,200.00
15/12/2023;4,200.00
14/12/2023;4,214.67
13/12/2023;4,184.67
12/12/2023;4,169.33
11/12/2023;4,138.33
07/12/2023;4,162.67
05/12/2023;4,072.00
04/12/2023;4,112.67
01/12/2023;4,168.33
30/11/2023;4,241.67
29/11/2023;4,230.00
28/11/2023;4,168.33
27/11/2023;4,099.00
24/11/2023;4,051.67
23/11/2023;4,051.17
22/11/2023;4,050.67
21/11/2023;4,097.33
20/11/2023;4,018.00
17/11/2023;4,084.00
16/11/2023;4,019.00
15/11/2023;3,971.67
14/11/2023;3,953.33
13/11/2023;4,048.33
10/11/2023;4,014.00
09/11/2023;3,953.00
08/11/2023;3,917.00
07/11/2023;3,889.00
06/11/2023;3,930.67
03/11/2023;3,915.67
02/11/2023;3,872.33
01/11/2023;3,808.33
31/10/2023;3,835.00
30/10/2023;3,842.67
27/10/2023;3,864.33
26/10/2023;3,827.00
25/10/2023;3,749.00
24/10/2023;3,745.67
23/10/2023;3,767.33
20/10/2023;3,710.33
19/10/2023;3,656.67
18/10/2023;3,638.67
17/10/2023;3,644.67
16/10/2023;3,586.67
13/10/2023;3,522.67
12/10/2023;3,498.33
11/10/2023;3,446.33
10/10/2023;3,476.67
09/10/2023;3,436.00
06/10/2023;3,469.00
05/10/2023;3,402.67
04/10/2023;3,430.33
03/10/2023;3,430.33
02/10/2023;3,499.33
29/09/2023;3,418.67
28/09/2023;3,446.67
27/09/2023;3,437.33
26/09/2023;3,498.33
25/09/2023;3,489.33
22/09/2023;3,570.67
21/09/2023;3,566.67
20/09/2023;3,573.00
19/09/2023;3,629.33
18/09/2023;3,619.00
15/09/2023;3,740.33
14/09/2023;3,725.67
13/09/2023;3,722.33
12/09/2023;3,651.67
11/09/2023;3,669.67
08/09/2023;3,656.00
07/09/2023;3,610.67
06/09/2023;3,656.67
05/09/2023;3,655.33
04/09/2023;3,634.00
01/09/2023;3,612.67
31/08/2023;3,639.67
30/08/2023;3,635.33
29/08/2023;3,588.00
28/08/2023;3,492.00
25/08/2023;3,469.00
24/08/2023;3,434.67
23/08/2023;3,418.67
22/08/2023;3,412.33
21/08/2023;3,448.67
18/08/2023;3,433.00
17/08/2023;3,480.33
16/08/2023;3,444.33
15/08/2023;3,424.00
14/08/2023;3,357.00
11/08/2023;3,334.67
10/08/2023;3,316.67
09/08/2023;3,339.00
08/08/2023;3,358.67
07/08/2023;3,487.67
04/08/2023;3,497.00
03/08/2023;3,489.00
02/08/2023;3,540.67
01/08/2023;3,547.33
31/07/2023;3,543.33
28/07/2023;3,513.67
27/07/2023;3,519.33
26/07/2023;3,543.00
25/07/2023;3,459.00
24/07/2023;3,410.00
21/07/2023;3,395.33
20/07/2023;3,389.33
19/07/2023;3,408.00
18/07/2023;3,401.67
17/07/2023;3,359.67
14/07/2023;3,335.33
13/07/2023;3,281.67
12/07/2023;3,335.67
11/07/2023;3,340.67
10/07/2023;3,329.67
07/07/2023;3,307.67
06/07/2023;3,321.67
05/07/2023;3,368.00
04/07/2023;3,380.50
03/07/2023;3,393.00
30/06/2023;3,342.33
29/06/2023;3,273.67
28/06/2023;3,341.67
27/06/2023;3,262.67
26/06/2023;3,256.67
23/06/2023;3,207.00
22/06/2023;3,206.33
21/06/2023;3,227.33
20/06/2023;3,204.33
19/06/2023;3,217.50
16/06/2023;3,230.67
15/06/2023;3,245.67
14/06/2023;3,206.67
13/06/2023;3,176.67
12/06/2023;3,132.33
09/06/2023;3,171.67
08/06/2023;3,147.67
07/06/2023;3,094.00
06/06/2023;3,051.00
05/06/2023;3,058.00
02/06/2023;3,032.67
01/06/2023;3,016.00
31/05/2023;3,008.67
30/05/2023;3,017.33
26/05/2023;3,005.67
25/05/2023;3,018.67
24/05/2023;3,020.67
23/05/2023;3,018.00
22/05/2023;2,891.64
19/05/2023;3,068.67
18/05/2023;2,990.67
17/05/2023;3,003.67
16/05/2023;2,988.00
15/05/2023;2,981.00
12/05/2023;2,987.67
11/05/2023;3,011.33
10/05/2023;3,028.00
09/05/2023;3,007.00
08/05/2023;2,964.00
05/05/2023;2,946.00
04/05/2023;2,922.67
03/05/2023;2,869.00
02/05/2023;2,895.00
01/05/2023;2,932.00
28/04/2023;2,936.33
27/04/2023;2,912.67
26/04/2023;2,938.00
25/04/2023;2,912.33
24/04/2023;2,957.67
21/04/2023;2,965.67
20/04/2023;2,938.67
19/04/2023;2,956.33
18/04/2023;2,949.00
17/04/2023;2,901.67
14/04/2023;2,915.67
13/04/2023;2,941.00
12/04/2023;2,893.00
11/04/2023;2,923.33
10/04/2023;2,874.67
06/04/2023;2,884.33
05/04/2023;2,884.67
04/04/2023;2,891.33
03/04/2023;2,842.67
31/03/2023;2,895.33
30/03/2023;2,892.67
29/03/2023;2,852.67
28/03/2023;2,874.67
27/03/2023;2,864.33
24/03/2023;2,841.33
23/03/2023;2,831.33
22/03/2023;2,832.33
21/03/2023;2,788.67
20/03/2023;2,767.00
17/03/2023;2,719.67
16/03/2023;2,673.33
15/03/2023;2,618.00
14/03/2023;2,663.00
13/03/2023;2,653.00
10/03/2023;2,707.00
09/03/2023;2,730.00
08/03/2023;2,734.67
07/03/2023;2,758.00
06/03/2023;2,798.67
03/03/2023;2,762.00
02/03/2023;2,786.00
01/03/2023;2,835.67
28/02/2023;2,789.33
27/02/2023;2,753.67
24/02/2023;2,736.67
23/02/2023;2,765.67
22/02/2023;2,771.00
21/02/2023;2,772.67
20/02/2023;2,766.83
17/02/2023;2,761.00
16/02/2023;2,734.00
15/02/2023;2,717.67
14/02/2023;2,657.00
13/02/2023;2,649.33
10/02/2023;2,603.00
09/02/2023;2,604.33
08/02/2023;2,602.67
07/02/2023;2,603.00
06/02/2023;2,607.33
03/02/2023;2,607.67
02/02/2023;2,623.33
01/02/2023;2,616.33
31/01/2023;2,616.00
30/01/2023;2,646.00
27/01/2023;2,647.67
26/01/2023;2,649.00
25/01/2023;2,616.00
24/01/2023;2,610.33
23/01/2023;2,621.33
20/01/2023;2,589.00
19/01/2023;2,581.33
18/01/2023;2,635.00
17/01/2023;2,657.00
16/01/2023;2,655.67
13/01/2023;2,654.33
12/01/2023;2,652.67
11/01/2023;2,644.00
10/01/2023;2,618.67
09/01/2023;2,693.67
06/01/2023;2,611.67
05/01/2023;2,623.67
04/01/2023;2,607.00
03/01/2023;2,572.67
30/12/2022;2,601.33
29/12/2022;2,576.67
28/12/2022;2,620.33
27/12/2022;2,631.33
23/12/2022;2,629.33
22/12/2022;2,606.00
21/12/2022;2,535.33
20/12/2022;2,502.67
19/12/2022;2,500.00
16/12/2022;2,478.67
15/12/2022;2,525.33
14/12/2022;2,531.33
13/12/2022;2,527.67
12/12/2022;2,506.33
09/12/2022;2,506.67
08/12/2022;2,541.33
07/12/2022;2,502.00
06/12/2022;2,488.67
05/12/2022;2,482.33
02/12/2022;2,541.67
01/12/2022;2,530.67
30/11/2022;2,498.33
29/11/2022;2,479.67
28/11/2022;2,490.67
25/11/2022;2,482.00
24/11/2022;2,463.33
23/11/2022;2,444.67
22/11/2022;2,451.00
21/11/2022;2,453.33
18/11/2022;2,458.67
17/11/2022;2,452.00
16/11/2022;2,503.00
15/11/2022;2,495.67
14/11/2022;2,495.67
11/11/2022;2,520.00
10/11/2022;2,557.33
09/11/2022;2,526.67
08/11/2022;2,517.00
07/11/2022;2,493.00
04/11/2022;2,424.00
03/11/2022;2,367.67
02/11/2022;2,384.33
01/11/2022;2,352.33
31/10/2022;2,335.00
28/10/2022;2,313.67
27/10/2022;2,322.00
26/10/2022;2,294.67
25/10/2022;2,303.00
24/10/2022;2,333.33
21/10/2022;2,311.33
20/10/2022;2,321.00
19/10/2022;2,308.67
18/10/2022;2,316.33
17/10/2022;2,328.67
14/10/2022;2,371.67
13/10/2022;2,366.33
12/10/2022;2,310.67
11/10/2022;2,342.67
10/10/2022;2,351.33
07/10/2022;2,381.00
06/10/2022;2,363.00
05/10/2022;2,377.33
04/10/2022;2,356.33
03/10/2022;2,323.33
30/09/2022;2,338.33
29/09/2022;2,314.33
28/09/2022;2,272.00
27/09/2022;2,272.00
26/09/2022;2,231.00
23/09/2022;2,387.68
22/09/2022;2,322.33
21/09/2022;2,341.33
20/09/2022;2,345.00
19/09/2022;2,358.33
16/09/2022;2,348.33
15/09/2022;2,364.67
14/09/2022;2,310.33
13/09/2022;2,347.67
12/09/2022;2,383.00
09/09/2022;2,359.00
08/09/2022;2,324.33
07/09/2022;2,342.67
06/09/2022;2,366.33
05/09/2022;2,381.50
02/09/2022;2,396.67
01/09/2022;2,358.00
31/08/2022;2,404.33
30/08/2022;2,396.33
29/08/2022;2,412.67
26/08/2022;2,405.00
25/08/2022;2,406.67
24/08/2022;2,383.00
23/08/2022;2,336.33
22/08/2022;2,121.17
