Data;Valor
29/12/2023;4231.52
28/12/2023;4285.61
26/12/2023;4293.07
22/12/2023;4311.54
21/12/2023;4301.20
20/12/2023;4304.46
19/12/2023;4299.33
18/12/2023;4283.30
15/12/2023;4272.15
15/12/2023;4272.15
14/12/2023;4285.77
13/12/2023;4241.76
12/12/2023;4230.50
11/12/2023;4198.93
07/12/2023;4217.98
05/12/2023;4128.35
04/12/2023;4181.33
01/12/2023;4230.81
30/11/2023;4293.79
29/11/2023;4295.35
28/11/2023;4241.01
27/11/2023;4160.61
24/11/2023;4121.69
23/11/2023;4113.74
22/11/2023;4096.14
21/11/2023;4137.40
20/11/2023;4074.30
17/11/2023;4144.01
16/11/2023;4086.56
15/11/2023;4041.66
14/11/2023;4100.94
13/11/2023;4158.25
10/11/2023;4114.23
09/11/2023;4063.19
08/11/2023;4011.57
07/11/2023;3981.81
06/11/2023;4015.96
03/11/2023;4008.67
02/11/2023;3960.17
01/11/2023;3894.43
31/10/2023;3929.50
30/10/2023;3939.15
27/10/2023;3953.68
26/10/2023;3917.83
25/10/2023;3848.03
24/10/2023;3831.89
23/10/2023;3868.09
20/10/2023;3795.08
19/10/2023;3737.88
18/10/2023;3708.53
17/10/2023;3723.77
16/10/2023;3678.43
13/10/2023;3596.94
12/10/2023;3582.39
11/10/2023;3520.57
10/10/2023;3552.28
09/10/2023;3504.48
06/10/2023;3533.14
05/10/2023;3466.32
04/10/2023;3489.13
03/10/2023;3482.82
02/10/2023;3555.54
29/09/2023;3479.85
28/09/2023;3505.89
27/09/2023;3472.59
26/09/2023;3539.73
25/09/2023;3529.59
22/09/2023;3597.13
21/09/2023;3587.73
20/09/2023;3595.83
19/09/2023;3659.67
18/09/2023;3646.58
15/09/2023;3761.07
14/09/2023;3750.88
13/09/2023;3750.60
12/09/2023;3683.61
11/09/2023;3695.21
08/09/2023;3685.76
07/09/2023;3630.90
06/09/2023;3661.81
05/09/2023;3660.03
04/09/2023;3623.70
01/09/2023;3613.89
31/08/2023;3656.78
30/08/2023;3644.39
29/08/2023;3583.52
28/08/2023;3504.40
25/08/2023;3463.22
24/08/2023;3421.81
23/08/2023;3410.19
22/08/2023;3408.64
21/08/2023;3430.73
18/08/2023;3418.74
17/08/2023;3456.06
16/08/2023;3423.58
15/08/2023;3406.75
14/08/2023;3366.72
11/08/2023;3330.66
10/08/2023;3310.35
09/08/2023;3328.48
08/08/2023;3345.14
07/08/2023;3450.24
04/08/2023;3445.40
03/08/2023;3430.81
02/08/2023;3484.64
01/08/2023;3492.59
31/07/2023;3497.65
28/07/2023;3474.76
27/07/2023;3470.16
26/07/2023;3484.61
25/07/2023;3408.32
24/07/2023;3347.93
21/07/2023;3338.50
20/07/2023;3323.60
19/07/2023;3347.75
18/07/2023;3335.34
17/07/2023;3303.35
14/07/2023;3283.02
13/07/2023;3224.12
12/07/2023;3303.55
11/07/2023;3313.92
10/07/2023;3301.88
07/07/2023;3275.33
06/07/2023;3278.75
05/07/2023;3323.10
04/07/2023;3333.17
03/07/2023;3347.45
30/06/2023;3298.19
29/06/2023;3211.82
28/06/2023;3273.58
27/06/2023;3212.67
26/06/2023;3204.59
23/06/2023;3144.64
22/06/2023;3150.20
21/06/2023;3170.56
20/06/2023;3144.89
19/06/2023;3158.23
16/06/2023;3165.17
15/06/2023;3171.56
14/06/2023;3162.39
13/06/2023;3125.82
12/06/2023;3065.10
09/06/2023;3109.32
08/06/2023;3070.38
07/06/2023;3019.82
06/06/2023;2974.14
05/06/2023;2983.02
02/06/2023;2960.10
01/06/2023;2956.62
31/05/2023;2940.97
30/05/2023;2948.63
26/05/2023;2939.41
25/05/2023;2945.62
24/05/2023;2945.31
23/05/2023;2949.88
22/05/2023;2958.48
19/05/2023;2995.24
18/05/2023;2917.40
17/05/2023;2919.25
16/05/2023;2906.93
15/05/2023;2891.43
12/05/2023;2890.07
11/05/2023;2907.05
10/05/2023;2925.93
09/05/2023;2907.51
08/05/2023;2878.93
05/05/2023;2861.89
04/05/2023;2833.29
03/05/2023;2790.92
02/05/2023;2808.71
01/05/2023;2832.16
28/04/2023;2845.90
27/04/2023;2826.61
26/04/2023;2842.28
25/04/2023;2817.29
24/04/2023;2859.64
21/04/2023;2873.82
20/04/2023;2849.07
19/04/2023;2863.43
18/04/2023;2857.85
17/04/2023;2814.04
14/04/2023;2825.76
13/04/2023;2842.12
12/04/2023;2799.41
11/04/2023;2822.21
10/04/2023;2791.46
06/04/2023;2800.12
05/04/2023;2788.62
04/04/2023;2784.86
03/04/2023;2740.75
31/03/2023;2784.13
30/03/2023;2766.36
29/03/2023;2733.92
