Data;ICCO_USD
29.12.2023;4,231.52
28.12.2023;4,285.61
26.12.2023;4,293.07
22.12.2023;4,311.54
21.12.2023;4,301.20
20.12.2023;4,304.46
19.12.2023;4,299.33
18.12.2023;4,283.30
15.12.2023;4,272.15
15.12.2023;4,272.15
14.12.2023;4,285.77
13.12.2023;4,241.76
12.12.2023;4,230.50
11.12.2023;4,198.93
07.12.2023;4,217.98
05.12.2023;4,128.35
04.12.2023;4,181.33
01.12.2023;4,230.81
30.11.2023;4,293.79
29.11.2023;4,295.35
28.11.2023;4,241.01
27.11.2023;4,160.61
24.11.2023;4,121.69
23.11.2023;4,113.74
22.11.2023;4,096.14
21.11.2023;4,137.40
20.11.2023;4,074.30
17.11.2023;4,144.01
16.11.2023;4,086.56
15.11.2023;4,041.66
14.11.2023;4,100.94
13.11.2023;4,158.25
10.11.2023;4,114.23
09.11.2023;4,063.19
08.11.2023;4,011.57
07.11.2023;3,981.81
06.11.2023;4,015.96
03.11.2023;4,008.67
02.11.2023;3,960.17
01.11.2023;3,894.43
31.10.2023;3,929.50
30.10.2023;3,939.15
27.10.2023;3,953.68
26.10.2023;3,917.83
25.10.2023;3,848.03
24.10.2023;3,831.89
23.10.2023;3,868.09
20.10.2023;3,795.08
19.10.2023;3,737.88
18.10.2023;3,708.53
17.10.2023;3,723.77
16.10.2023;3,678.43
13.10.2023;3,596.94
12.10.2023;3,582.39
11.10.2023;3,520.57
10.10.2023;3,552.28
09.10.2023;3,504.48
06.10.2023;3,533.14
05.10.2023;3,466.32
04.10.2023;3,489.13
03.10.2023;3,482.82
02.10.2023;3,555.54
29.09.2023;3,479.85
28.09.2023;3,505.89
27.09.2023;3,472.59
26.09.2023;3,539.73
25.09.2023;3,529.59
22.09.2023;3,597.13
21.09.2023;3,587.73
20.09.2023;3,595.83
19.09.2023;3,659.67
18.09.2023;3,646.58
15.09.2023;3,761.07
14.09.2023;3,750.88
13.09.2023;3,750.60
12.09.2023;3,683.61
11.09.2023;3,695.21
08.09.2023;3,685.76
07.09.2023;3,630.90
06.09.2023;3,661.81
05.09.2023;3,660.03
04.09.2023;3,623.70
01.09.2023;3,613.89
31.08.2023;3,656.78
30.08.2023;3,644.39
29.08.2023;3,583.52
28.08.2023;3,504.40
25.08.2023;3,463.22
24.08.2023;3,421.81
23.08.2023;3,410.19
22.08.2023;3,408.64
21.08.2023;3,430.73
18.08.2023;3,418.74
17.08.2023;3,456.06
16.08.2023;3,423.58
15.08.2023;3,406.75
14.08.2023;3,366.72
11.08.2023;3,330.66
10.08.2023;3,310.35
09.08.2023;3,328.48
08.08.2023;3,345.14
07.08.2023;3,450.24
04.08.2023;3,445.40
03.08.2023;3,430.81
02.08.2023;3,484.64
01.08.2023;3,492.59
31.07.2023;3,497.65
28.07.2023;3,474.76
27.07.2023;3,470.16
26.07.2023;3,484.61
25.07.2023;3,408.32
24.07.2023;3,347.93
21.07.2023;3,338.50
20.07.2023;3,323.60
19.07.2023;3,347.75
18.07.2023;3,335.34
17.07.2023;3,303.35
14.07.2023;3,283.02
13.07.2023;3,224.12
12.07.2023;3,303.55
11.07.2023;3,313.92
10.07.2023;3,301.88
07.07.2023;3,275.33
06.07.2023;3,278.75
05.07.2023;3,323.10
04.07.2023;3,333.17
03.07.2023;3,347.45
30.06.2023;3,298.19
29.06.2023;3,211.82
28.06.2023;3,273.58
27.06.2023;3,212.67
26.06.2023;3,204.59
23.06.2023;3,144.64
22.06.2023;3,150.20
21.06.2023;3,170.56
20.06.2023;3,144.89
19.06.2023;3,158.23
16.06.2023;3,165.17
15.06.2023;3,171.56
14.06.2023;3,162.39
13.06.2023;3,125.82
12.06.2023;3,065.10
09.06.2023;3,109.32
08.06.2023;3,070.38
07.06.2023;3,019.82
06.06.2023;2,974.14
05.06.2023;2,983.02
02.06.2023;2,960.10
01.06.2023;2,956.62
31.05.2023;2,940.97
30.05.2023;2,948.63
26.05.2023;2,939.41
25.05.2023;2,945.62
24.05.2023;2,945.31
23.05.2023;2,949.88
22.05.2023;2,958.48
19.05.2023;2,995.24
18.05.2023;2,917.40
17.05.2023;2,919.25
16.05.2023;2,906.93
15.05.2023;2,891.43
12.05.2023;2,890.07
11.05.2023;2,907.05
10.05.2023;2,925.93
09.05.2023;2,907.51
08.05.2023;2,878.93
05.05.2023;2,861.89
04.05.2023;2,833.29
03.05.2023;2,790.92
02.05.2023;2,808.71
01.05.2023;2,832.16
28.04.2023;2,845.90
27.04.2023;2,826.61
26.04.2023;2,842.28
25.04.2023;2,817.29
24.04.2023;2,859.64
21.04.2023;2,873.82
